K_Tr_AB_nCi_3_M25(M8)_SS7_T_KA_a-e-v_MID,N3_TrB_AB_nCi_3_M26(M11)_MP2_T_LGA[0.0-1.0]_r-p_MID,P2_B_AB_nCi_2_NS3_H_T_LGP[2-4]_c-h_MAS,SD_B_AB_Ci(2.0;-2.0)_2_MP7_H_n_X_LGP[4-6]_e-p_MAS,GV[5]_K_Tr_AB_nCi_3_M22(M1)_NS1_T_KA_m-a-c_MID,AC[5]_K_TrC_AB_nCi_3_M21(M1)_NS4_C_KA_m_MID,AC[3]_N2_Tr_AB_nCi_3_M20(M13)_MP2_C_KA_r-p-c_MID,N3_B_AB_nCi_2_SS8_C_LGP[1]_r-c_MAS,Q2_B_AB_nCi_2_SS1_T_LGP[1;2;6]_c-p_MAS,GV[6]_N2_Tr_AB_nCi_3_M20(M13)_MP4_T_LG3L[1-2]_LGL[1-2]_v-p-c_MID,MX_B_AB_nCi_2_SS6_T_LGP[1;2;6]_r-c_MAS,pIC50
4.144629177,0.535781328,1.496512619,0.013218208,18.85147546,8.42659888,9.06E-04,0.06127876,0.080155794,0.007300315,0.228023621,3.041046112
4.66396821,0.534858569,1.499309089,0.013105919,15.74650386,35.99999997,9.33E-04,0.061212253,0.080154353,0.005926945,0.228023621,2.900520788
-0.933404887,0.491020981,1.027091919,0.018763847,15.54055607,19,0.003724128,0.070149084,0.018967811,0.0066829,0.284440287,6.059338276
-0.46534025,0.430170279,1.33791483,0.015156151,20.5418872,26,0.003382057,0.069883814,0.018667435,0.006677491,0.294835734,5.834224139
4.374902351,0.518706178,1.513574301,0.013323148,9.998431684,9.639067792,5.42E-05,-0.026314813,0.025789373,0.006582805,0.163552879,7.76122569
2.599454861,0.421311813,1.584462582,0.016406443,7.692237198,11.69725037,4.17E-05,-0.023319504,0.026165615,0.007030341,0.260119158,7.903538523
4.291048052,0.49306833,1.603954194,0.013871168,11.4751362,24,5.58E-05,-0.027536263,0.025788642,0.007501697,0.163552906,7.38961462
4.118531036,0.615467003,1.607210548,0.017713949,11.92912143,9.58736299,4.33E-05,-0.028056309,-0.00289964,0.015665805,0.159682082,7.463400834
4.024474368,0.567054413,1.627387509,0.017452786,17.16137796,10.0997079,5.10E-05,-0.02712891,0.144637443,0.013453919,0.177448257,7.61146337
3.943732979,0.561781079,1.635302259,0.017095757,6.198800476,26,4.16E-05,-0.027528611,0.144636685,0.01425741,0.182137403,7.65421535
4.02775245,0.573688404,1.57920016,0.016724943,13.85898237,26,4.97E-05,-0.027536263,0.101359125,0.014856282,0.159682082,7.095424049
2.236204405,0.463836349,1.573886982,0.016129047,15.55484249,28,3.17E-05,-0.027095353,0.144640003,0.009759106,0.224590112,7.685249584
4.811807788,0.567301211,1.589851776,0.015571059,11.52869011,12.82085299,1.03E-04,-0.030021231,-5.22E-04,0.009961518,0.212109119,7.170488729
4.27556723,0.527492355,1.608126109,0.015725296,23.13739972,13.37124345,9.87E-05,-0.029220887,0.031963546,0.010260325,0.211706159,7.317272798
4.627202739,0.536352644,1.560199257,0.015294212,21.34657371,13.39382613,1.19E-04,-0.029263974,0.030773113,0.011318897,0.21210912,7.243486584
4.585527863,0.532741295,1.564321377,0.014971158,12.3323743,28,1.09E-04,-0.02956861,0.030769189,0.009751817,0.212109119,7.123912587
2.560786715,0.440170107,1.559699993,0.014685849,16.19810665,30,6.88E-05,-0.02919197,0.031328973,0.006550554,0.224590112,7.568428737
2.425460157,0.317766881,0.916882065,0.021441802,3.559007545,22.71345951,0.001242389,0.03611379,0.043777726,9.29E-04,0.238391388,4.851140381
0.548424471,0.305221993,0.918719342,0.021281712,1.767218925,32,0.00135015,0.036248343,0.040809146,5.04E-04,0.237496112,5.558304864
2.101510161,0.275790822,0.948768732,0.020559039,4.010141052,24.13524754,0.001216093,0.036153878,0.043861288,0.001279552,0.238364805,5.491358075
2.318868259,0.274156774,0.949008307,0.020395472,2.418506609,34,0.001759317,0.036296635,0.043474826,3.68E-04,0.237485518,5.750190391
3.010611347,0.327609864,1.186229106,0.022103318,3.586266757,34.24696939,0.003167532,0.060318642,0.003585323,0.001304093,0.239894303,5.336456115
2.033665173,0.260516313,1.011917204,0.019749362,4.521374877,36.73198309,0.001100823,0.036182498,0.005050858,0.001636808,0.238339041,5.538101478
0.961844381,0.259362725,1.013776221,0.019582601,22.53957391,36,0.00235274,0.036331494,0.004542466,2.52E-04,0.237475099,6.63748611
2.584610451,0.269274828,1.222557641,0.021262689,2.41234373,8.711481154,0.002841688,0.060325991,0.004980187,0.001136415,0.239864691,5.109672147
0.130615605,0.259140652,0.981396019,0.019758999,5.227357074,34.53944688,0.001257379,0.03468438,-8.68E-04,0.003617054,0.238296234,5.801342913
0.65854392,0.286564581,1.209484643,0.021295096,3.41704239,36.10808905,0.003022839,0.059802732,-0.003837796,0.001299615,0.239815463,5.719156157
0.574956354,0.355005822,1.21406355,0.021099189,23.25105422,36,9.70E-04,0.059998719,-0.002208919,0.00361643,0.238842477,5.977434172
0.20930482,0.225091264,0.938361888,0.019100704,5.486472056,35.47768807,0.001299132,0.036233386,0.04398663,0.001647208,0.238296234,5.977434172
0.613955007,0.30298815,0.939110053,0.018935013,19.40241933,37,0.001999636,0.036388994,0.043537967,2.26E-04,0.237468931,6.181554155
-0.236299158,0.250710555,1.159982133,0.020621159,3.352276769,37.06284606,0.003033664,0.060343509,0.001469326,0.001305634,0.239815463,6.267740302
2.753675176,0.273587424,0.889477203,0.019375227,3.186195103,32,0.002401433,0.039488142,0.040289478,0.002075896,0.18503744,5.041675068
3.020700853,0.243956489,0.919286576,0.018662106,4.080922778,30.77997667,0.003932762,0.039360642,0.045716784,0.009217026,0.185189311,5.342705064
2.453982725,0.242490573,0.921468065,0.018561507,3.557795369,34,0.002116046,0.039528681,0.043100709,0.001684727,0.185032511,5.601770558
2.679524945,0.311864296,1.150671569,0.020033688,3.48343639,16.6551188,0.002852566,0.055217208,0.003435381,0.001208276,0.228741876,4.994033434
